cid,spider_ident_f,spider_ident_c
2279,https://www.feixiaohao.com/currencies/power-ledger/,https://coincheckup.com/coins/power-ledger
2135,https://www.feixiaohao.com/currencies/open-platform/,https://coincheckup.com/coins/open-platform
2800,https://www.feixiaohao.com/currencies/taas/,https://coincheckup.com/coins/taas
212,https://www.feixiaohao.com/currencies/atbcoin/,https://coincheckup.com/coins/atbcoin
2980,https://www.feixiaohao.com/currencies/useless-ethereum-token/,https://coincheckup.com/coins/useless-ethereum-token
1564,https://www.feixiaohao.com/currencies/intelligent-trading-tech/,https://coincheckup.com/coins/intelligent-trading-foundation
4886,https://www.feixiaohao.com/currencies/neverdie/,https://coincheckup.com/coins/neverdie
68,https://www.feixiaohao.com/currencies/adx-net/,https://coincheckup.com/coins/adx-net
1813,https://www.feixiaohao.com/currencies/moeda-loyalty-points/,https://coincheckup.com/coins/moeda-loyalty-points
3245,https://www.feixiaohao.com/currencies/xpa/,https://coincheckup.com/coins/xplay
1928,https://www.feixiaohao.com/currencies/mark-space/,https://coincheckup.com/coins/mark.space
2341,https://www.feixiaohao.com/currencies/qash/,https://coincheckup.com/coins/qash
2391,https://www.feixiaohao.com/currencies/rublix/,https://coincheckup.com/coins/rublix
883,https://www.feixiaohao.com/currencies/encrypgen/,https://coincheckup.com/coins/encrypgen
2574,https://www.feixiaohao.com/currencies/signals-network/,https://coincheckup.com/coins/signals-network
1987,https://www.feixiaohao.com/currencies/nebulas/,https://coincheckup.com/coins/nebulas-token
1805,https://www.feixiaohao.com/currencies/musiconomi/,https://coincheckup.com/coins/musiconomi
2417,https://www.feixiaohao.com/currencies/real/,https://coincheckup.com/coins/real
859,https://www.feixiaohao.com/currencies/etheroll/,https://coincheckup.com/coins/etheroll
379,https://www.feixiaohao.com/currencies/bankex/,https://coincheckup.com/coins/bankex
3049,https://www.feixiaohao.com/currencies/vibe/,https://coincheckup.com/coins/vibe
5139,https://www.feixiaohao.com/currencies/digipulse/,https://coincheckup.com/coins/digipulse
2274,https://www.feixiaohao.com/currencies/polymath-network/,https://coincheckup.com/coins/polymath
2005,https://www.feixiaohao.com/currencies/neblio/,https://coincheckup.com/coins/neblio
5493,https://www.feixiaohao.com/currencies/decred/,https://coincheckup.com/coins/decred
655,https://www.feixiaohao.com/currencies/cindicator/,https://coincheckup.com/coins/cindicator
1979,https://www.feixiaohao.com/currencies/mysterium/,https://coincheckup.com/coins/mysterium
1243,https://www.feixiaohao.com/currencies/gatcoin/,https://coincheckup.com/coins/gatcoin
2662,https://www.feixiaohao.com/currencies/status/,https://coincheckup.com/coins/status
786,https://www.feixiaohao.com/currencies/cargox/,https://coincheckup.com/coins/cargox
1000,https://www.feixiaohao.com/currencies/electrifyasia/,https://coincheckup.com/coins/electrify.asia
1977,https://www.feixiaohao.com/currencies/mybit-token/,https://coincheckup.com/coins/mybit-token
135,https://www.feixiaohao.com/currencies/amlt/,https://coincheckup.com/coins/amlt-token
285,https://www.feixiaohao.com/currencies/blockcdn/,https://coincheckup.com/coins/blockcdn
3162,https://www.feixiaohao.com/currencies/wawllet/,https://coincheckup.com/coins/wawllet
594,https://www.feixiaohao.com/currencies/cofound-it/,https://coincheckup.com/coins/cofound-it
1773,https://www.feixiaohao.com/currencies/local-world-forwarders/,https://coincheckup.com/coins/local-world-forwarders
1633,https://www.feixiaohao.com/currencies/komodo/,https://coincheckup.com/coins/komodo
803,https://www.feixiaohao.com/currencies/datum/,https://coincheckup.com/coins/datum
2373,https://www.feixiaohao.com/currencies/revain/,https://coincheckup.com/coins/revain
277,https://www.feixiaohao.com/currencies/bigbom/,https://coincheckup.com/coins/bigbom
1891,https://www.feixiaohao.com/currencies/goldmint/,https://coincheckup.com/coins/goldmint
793,https://www.feixiaohao.com/currencies/dadi/,https://coincheckup.com/coins/dadi
2550,https://www.feixiaohao.com/currencies/consensus/,https://coincheckup.com/coins/consensus
1634,https://www.feixiaohao.com/currencies/kyber-network/,https://coincheckup.com/coins/kyber-network
3062,https://www.feixiaohao.com/currencies/vice-industry-token/,https://coincheckup.com/coins/vice-industry-token
1361,https://www.feixiaohao.com/currencies/guess/,https://coincheckup.com/coins/guess
1960,https://www.feixiaohao.com/currencies/matryx/,https://coincheckup.com/coins/matryx
5367,https://www.feixiaohao.com/currencies/hydro/,https://coincheckup.com/coins/hydro-protocol
1795,https://www.feixiaohao.com/currencies/monster-byte/,https://coincheckup.com/coins/monster-byte
1999,https://www.feixiaohao.com/currencies/polyswarm/,https://coincheckup.com/coins/polyswarm
2714,https://www.feixiaohao.com/currencies/sirin-labs-token/,https://coincheckup.com/coins/sirin-labs-token
1723,https://www.feixiaohao.com/currencies/live-stars/,https://coincheckup.com/coins/live-stars
2785,https://www.feixiaohao.com/currencies/swarm-fund/,https://coincheckup.com/coins/swarm
141,https://www.feixiaohao.com/currencies/synereo/,https://coincheckup.com/coins/synereo
2843,https://www.feixiaohao.com/currencies/target-coin/,https://coincheckup.com/coins/target-coin
1257,https://www.feixiaohao.com/currencies/gems/,https://coincheckup.com/coins/gems
299,https://www.feixiaohao.com/currencies/bitdegree/,https://coincheckup.com/coins/bitdegree
2453,https://www.feixiaohao.com/currencies/rlc/,https://coincheckup.com/coins/rlc
3487,https://www.feixiaohao.com/currencies/octanox/,https://coincheckup.com/coins/octanox
1146,https://www.feixiaohao.com/currencies/filecoin/,https://coincheckup.com/coins/filecoin-futures
2898,https://www.feixiaohao.com/currencies/transcodium/,https://coincheckup.com/coins/transcodium
3326,https://www.feixiaohao.com/currencies/zla/,https://coincheckup.com/coins/zilla
2768,https://www.feixiaohao.com/currencies/substratum/,https://coincheckup.com/coins/substratum
437,https://www.feixiaohao.com/currencies/blockport/,https://coincheckup.com/coins/blockport
4008,https://www.feixiaohao.com/currencies/aelf/,https://coincheckup.com/coins/aelf
1541,https://www.feixiaohao.com/currencies/lotex/,https://coincheckup.com/coins/iotex
810,https://www.feixiaohao.com/currencies/chronologic/,https://coincheckup.com/coins/chronologic
1691,https://www.feixiaohao.com/currencies/leadcoin/,https://coincheckup.com/coins/leadcoin
5452,https://www.feixiaohao.com/currencies/dovu/,https://coincheckup.com/coins/dovu
1414,https://www.feixiaohao.com/currencies/hero/,https://coincheckup.com/coins/hero
1091,https://www.feixiaohao.com/currencies/electroneum/,https://coincheckup.com/coins/electroneum
315,https://www.feixiaohao.com/currencies/rentberry/,https://coincheckup.com/coins/rentberry
1367,https://www.feixiaohao.com/currencies/genesis-vision/,https://coincheckup.com/coins/genesis-vision
3125,https://www.feixiaohao.com/currencies/wanchain/,https://coincheckup.com/coins/wanchain
887,https://www.feixiaohao.com/currencies/district0x/,https://coincheckup.com/coins/district0x
4730,https://www.feixiaohao.com/currencies/worldcore/,https://coincheckup.com/coins/worldcore
1610,https://www.feixiaohao.com/currencies/kubera-coin/,https://coincheckup.com/coins/kubera-coin
2350,https://www.feixiaohao.com/currencies/qlink/,https://coincheckup.com/coins/qlink
1729,https://www.feixiaohao.com/currencies/blocklancer/,https://coincheckup.com/coins/blocklancer
3795,https://www.feixiaohao.com/currencies/phantasma/,https://coincheckup.com/coins/phantasma
1650,https://www.feixiaohao.com/currencies/karma/,https://coincheckup.com/coins/karma
4892,https://www.feixiaohao.com/currencies/monacoin/,https://coincheckup.com/coins/monacoin
3372,https://www.feixiaohao.com/currencies/policypal-network/,https://coincheckup.com/coins/policypal-network
2032,https://www.feixiaohao.com/currencies/autonio/,https://coincheckup.com/coins/autonio
3354,https://www.feixiaohao.com/currencies/biotron/,https://coincheckup.com/coins/biotron
2894,https://www.feixiaohao.com/currencies/trinity/,https://coincheckup.com/coins/trinity-network-credit
2286,https://www.feixiaohao.com/currencies/populous/,https://coincheckup.com/coins/populous
927,https://www.feixiaohao.com/currencies/dether/,https://coincheckup.com/coins/dether
5424,https://www.feixiaohao.com/currencies/universa/,https://coincheckup.com/coins/universa
518,https://www.feixiaohao.com/currencies/change/,https://coincheckup.com/coins/change
2144,https://www.feixiaohao.com/currencies/origami/,https://coincheckup.com/coins/origami
426,https://www.feixiaohao.com/currencies/boscoin/,https://coincheckup.com/coins/boscoin
4036,https://www.feixiaohao.com/currencies/wild-crypto/,https://coincheckup.com/coins/wild-crypto
1397,https://www.feixiaohao.com/currencies/helbiz/,https://coincheckup.com/coins/helbiz
2762,https://www.feixiaohao.com/currencies/student-coin/,https://coincheckup.com/coins/bitjob
3377,https://www.feixiaohao.com/currencies/aditus/,https://coincheckup.com/coins/aditus
832,https://www.feixiaohao.com/currencies/debitum-network/,https://coincheckup.com/coins/debitum-network
651,https://www.feixiaohao.com/currencies/comsa-eth/,https://coincheckup.com/coins/comsa-eth
3160,https://www.feixiaohao.com/currencies/wi-coin/,https://coincheckup.com/coins/wi-coin
1390,https://www.feixiaohao.com/currencies/havven/,https://coincheckup.com/coins/havven
4861,https://www.feixiaohao.com/currencies/iost/,https://coincheckup.com/coins/iostoken
1916,https://www.feixiaohao.com/currencies/morpheus-network/,https://coincheckup.com/coins/morpheus-network
2614,https://www.feixiaohao.com/currencies/skincoin/,https://coincheckup.com/coins/skincoin
1820,https://www.feixiaohao.com/currencies/mdt/,https://coincheckup.com/coins/measurable-data-token
969,https://www.feixiaohao.com/currencies/edgeless/,https://coincheckup.com/coins/edgeless
618,https://www.feixiaohao.com/currencies/coinpoker/,https://coincheckup.com/coins/coinpoker
700,https://www.feixiaohao.com/currencies/cryptaur/,https://coincheckup.com/coins/cryptaur
4560,https://www.feixiaohao.com/currencies/zencash/,https://coincheckup.com/coins/zencash
805,https://www.feixiaohao.com/currencies/datx/,https://coincheckup.com/coins/datx
138,https://www.feixiaohao.com/currencies/amon/,https://coincheckup.com/coins/amon
3337,https://www.feixiaohao.com/currencies/zeepin/,https://coincheckup.com/coins/zeepin
3433,https://www.feixiaohao.com/currencies/cgc-token/,https://coincheckup.com/coins/cgc-token
5178,https://www.feixiaohao.com/currencies/lykke/,https://coincheckup.com/coins/lykke
1807,https://www.feixiaohao.com/currencies/monaco/,https://coincheckup.com/coins/monaco
997,https://www.feixiaohao.com/currencies/elastos/,https://coincheckup.com/coins/elastos
1730,https://www.feixiaohao.com/currencies/linker-coin/,https://coincheckup.com/coins/linker-coin
478,https://www.feixiaohao.com/currencies/bottos/,https://coincheckup.com/coins/bottos
1677,https://www.feixiaohao.com/currencies/latiumx/,https://coincheckup.com/coins/latiumx
